review,appName,platform,sentiment,cleaned_reviews,encoded_sentiment,review_length,category
احسن حاجة في التطبيق هنا يوم عيد ميلادي لقيت حد يحتفل بيه معايا عن طريق الغرفة و كانت حفلة جملية جدا شكرا لتطبيق يلا علي الإمكانيات الجميلة في التطبيق خمس نجوووم او اكثر لو ينفع اعطيكم التقييم ده,Yalla Group Voice Chat Rooms,ios,positive,احسن حاجه في التطبيق هنا يوم عيد ميلادي لقيت حد يحتفل بيه معايا عن طريق الغرفه و كانت حفله جمليه جدا شكرا لتطبيق يلا علي الامكانيات الجميله في التطبيق خمس نجوم او اكثر لو ينفع اعطيكم التقيم ده,1,192,Voice Chat
ممتاز جدا ,Twitter,android,positive,متاز جدا,1,9,Social Media
لعبة جميلة جدا من جميع النواحي ولا غريب على هذه الشركة المبدعة بالألعاب دائما العابكم جميلة وممتعة بكل شيء شكرا لكم ولكن عندي اقتراح بسيط لو كانت شخصيات الابطال بالتدريب بصورة متحركة يكون أفضل باللعبة مثل التنجيد وغيره  بالتوفيق .,Frontier Justice Return to the Wild West,android,positive,لعبه جميله جدا من جميع النواحي ولا غريب علي هذه الشركه المبدعه بالالعاب دائما العابكم جميله ومتعه بكل شيء شكرا لكم ولكن عندي اقتراح بسيط لو كانت شخصيات الابطال بالتدريب بصوره متحركه يكون افضل بالعبه مثل التنجيد وغيره بالتوفيق,1,227,Gaming
اتمناء الغاء حسابي نهائيان من المصرف لاني ماقدرت استخدمه ابد,Al Rajhi Mobile,android,negative,اتمناء الغاء حسابي نهائيان من المصرف لاني ماقدرت استخدمه ابد,0,60,Banking & Finance
اجمل تطبيق علي الإطلاق,WhatsApp Messenger,android,positive,اجمل تطبيق علي الاطلاق,1,22,Social Media
لعبه فاشله جدا لا انصح بتحميلها نهائيا,Rise of Kingdoms,ios,negative,لعبه فاشله جدا لا انصح بتحميلها نهائيا,0,38,Gaming
برنامج جميل يغنيك عن برامج التحميل,Anghami: Play Music & Podcasts,ios,positive,برنامج جميل يغنيك عن برامج التحميل,1,34,Entertainment
لعبة راىعه شكرا,State of Survival: Survive the Zombie Apocalypse,android,positive,لعبه رايعه شكرا,1,15,Gaming
موقع فاشل كل ماجيت اطلب يطلع خطا بالمطعم  بااكثر من جوال حاولت,HungerStation,ios,negative,موقع فاشل كل ماجيت اطلب يطلع خطا بالمطعم باكثر من جوال حاولت,0,60,Food Delivery
افضل لعبه عندي,Clash of Clans,ios,positive,افضل لعبه عندي,1,14,Gaming
بس هل من مجيب اتمني الرقي,تقديم بلاغ مخالفة تجارية,android,positive,بس هل من مجيب اتمني الرقي,1,25,Government Services
بحق بلاغك في اسبوع ويحل,Reporting Trade Violations app,ios,positive,بحق بلاغك في اسبوع ويحل,1,23,Government Services
لماذا لانستطيع اجراء مكالمات فيديو ولا صوتيه,imo beta free calls and text,android,negative,لماذا لانستطيع اجراء مكالمات فيديو ولا صوتيه,0,44,Video Calls
رائعه جداً جد,INVASION: صقور العرب‎,android,positive,رائعه جدا جد,1,12,Gaming
مروان عصام جميل,PUBG MOBILE DREAM TEAM,android,positive,مروان عصام جميل,1,15,Gaming
العبة حلوه لاكن اتمنا انكم تضعو اعدادات تلقائيا ل ازرار التحكم,Grand Theft Auto: San Andreas,android,positive,العبه حلوه لاكن اتمنا انكم تضعو اعدادات تلقائيا ل ازرار التحكم,1,62,Gaming
بطي في بعض الأحيان,WhatsApp Messenger,android,negative,بطي في بعض الاحيان,0,18,Social Media
هل التطبيق يعمل ؟؟,"Rest Assured ""Tataman"" App",ios,negative,هل التطبيق يعمل ؟,0,17,Government Services
"البرنامج يرفض التسجيل تم التواصل مع الدعم الفني الكثر من مره بدون فائدة
أرجو منكم الإفادة",Sehhaty App:,ios,negative,البرنامج يرفض التسجيل تم التواصل مع الدعم الفني الكثر من مره بدون فائده ارجو منكم الافاده,0,89,Government Services
الدعم فيها سيء جدا ويدتخل بالسيرفرات بعمل قواعد له ليستنفذ الشحن من اللاعبين..... أضيف بتاريخ اليوم كل تحديث والله انكم تخسرون محبين اللعبة لو اخذتم بعين الاعتبار الشريحة العمرية للاعبين ما قمتم بهذا التحديث الطفولي مع عدة أخطاء و الغيتم التسريعات ومن جائزة نهاية الموسم هذا بحد ذاته غش لكل اللاعبين لعبة تافهة لا تستحق تحميلها كلها سرقة,Warfare Strike:Ghost Recon,android,negative,الدعم فيها سيء جدا ويدتخل بالسيرفرات بعمل قواعد له ليستنفذ الشحن من الاعبين اضيف بتاريخ اليوم كل تحديث واله انكم تخسرون محبين العبه لو اخذتم بعين الاعتبار الشريحه العمريه لاعبين ما قمتم بهذا التحديث الطفولي مع عده اخطاء و الغيتم التسريعات ومن جائزه نهايه الموسم هذا بحد ذاته غش لكل الاعبين لعبه تافه لا تستحق تحميلها كلها سرقه,0,327,Gaming
مش عارفه اشوف وصف اى منتج على طول بيقفل البرنامج. اضطريت لحذفه,noon shopping,android,negative,مش عارفه اشوف وصف اي منتج علي طول بيقفل البرنامج اضطريت لحذفه,0,62,Shopping
أبو عبدالله عبدالله,imo beta free calls and text,android,positive,ابو عبداله عبداله,1,17,Video Calls
يرجي ترخيض الأسعار وفعل كونزات اليومي أكثر من٣,StarChat Group Voice Chat Room,android,negative,يرجي ترخيض الاسعار وفعل كونزات اليومي اكثر من,0,46,Voice Chat
بادره طيبه من الوزاره واتمنى منهم تلقي الشكاوى والتجاوب من المواطنين والمقيمين بكل امانه كما اتمنى من المستخدمين حسن استخدام البرنامج واستغلاله لما صمم من اجله، بالتوفيق,Reporting Trade Violations app,ios,positive,بادره طيبه من الوزاره واتمني منهم تلقي الشكاوي والتجاوب من المواطنين والمقيمين بكل امانه كما اتمني من المستخدمين حسن استخدام البرنامج واستغلاله لما صم من اجله، بالتوفيق,1,168,Government Services
تطبيق رائع جدا وسهل الإجراءات,Absher App,ios,positive,تطبيق رائع جدا وسهل الاجراءات,1,29,Government Services
"تطبيق ممتاز ويخدم جميع الفئات ويسهل من الاجراءات 
ولاكن يحتاج الى القليل من التطوير",Absher App,ios,positive,تطبيق متاز ويخدم جميع الفئات ويسهل من الاجراءات ولاكن يحتاج الي القليل من التطوير,1,82,Government Services
لي مبلغ من حساب سوق وطلبت تحوليه الي حسابي البنكي في سامبا ولم يتم لغاية اليوم منذو اول يوم بداء امزون تشغيله وقفل سوق دوت كوم ما اقول غير حسبي الله على من اخذها,Amazon Shopping Search Find Ship and Save,android,negative,لي مبلغ من حساب سوق وطلبت تحوليه الي حسابي البنكي في سامبا ولم يتم لغايه اليوم منذو اول يوم بداء امزون تشغيله وقفل سوق دوت كوم ما اقول غير حسبي اله علي من اخذها,0,160,Shopping
ممتاز جدا جدا,BIGO LIVE–Live Stream Live Chat Go Live,android,negative,متاز جدا جدا,0,12,Live Streaming
كرو احسن شي بلعبة وكرو جاني,Brawl Stars,android,positive,كرو احسن شي بلعبه وكرو جاني,1,27,Gaming
التطبيق لا يعمل يا شباب,Reporting Trade Violations app,ios,negative,التطبيق لا يعمل يا شباب,0,23,Government Services
جيد حلوه مرره شكرا مره,Snapchat,android,positive,جيد حلوه مره شكرا مره,1,21,Social Media
تطبيق سيء يلعب بنفسية الواحد، اروح المطعم بنفسي افضل من المصخره الي تصير,HungerStation,ios,negative,تطبيق سيء يلعب بنفسيه الواحد، اروح المطعم بنفسي افضل من المصخره الي تصير,0,72,Food Delivery
يستهبلون ذولا!! ماتقدر تسوي اي شي الا بشتراك واقل اشتراك 119 ريال مدة شهر,Tinder Dating Make Friends and Meet New People,android,negative,يستهبلون ذولا ماتقدر تسوي اي شي الا بشتراك واقل اشتراك ريال مده شهر,0,71,Social Meeting
تطبيق جداً مفيد ومريح وسهل وواضح جزاكم الله الجنة,Mawid app,ios,positive,تطبيق جدا مفيد ومريح وسهل واضح جزاكم اله الجنه,1,46,Government Services
جديد وجميل اوي اوي اوي اوي,SHAREit Transfer & Share,android,positive,جديد وجميل اوي اوي اوي اوي,1,26,File Sharing
حتى النجمه مايستاهلها,"""Tawakkalna"" App",ios,negative,حتي النجمه مايستاهلها,0,21,Government Services
ماشاءالله جهد مقدر ربنا يتقبل منكم,Eatmarna,android,positive,ماشاءاله جهد مقدر ربنا يتقبل منكم,1,33,Government Services
"أفضل تطبيق حكومي على مستوى العالم المتقدم 
وإنجاز مشرف للوطن",Absher App,ios,positive,افضل تطبيق حكومي علي مستوي العالم المتقدم وانجاز مشرف لوطن,1,59,Government Services
اللعبة خرا في خرا في خرا في خرا لا انصح بتحميلها,Rise of Kingdoms,ios,negative,العبه خرا في خرا في خرا في خرا لا انصح بتحميلها,0,47,Gaming
تطبيق سيىء وبطيئ,Mawid app,ios,negative,تطبيق سيء وبطيئ,0,15,Government Services
يجب من الاداره عمل تحديث يجعل من العبه شيقه,Evony: The King's Return,android,negative,يجب من الاداره عمل تحديث يجعل من العبه شيقه,0,43,Gaming
محمد صلى وسلم نورتي,SHAREit Transfer & Share,android,negative,محمد صلي وسلم نورتي,0,19,File Sharing
شكرا وزارة الصحة,Mawid app,ios,positive,شكرا وزاره الصحه,1,16,Government Services
اجججمل العاب في العالم ششششكرااااااا,My Town : Hotel Free,android,positive,اجمل العاب في العالم شكرا,1,25,Gaming
لعبه متناكه لولاد الوسخه الي معاهم فلوس وبس,Frontier Justice Return to the Wild West,android,negative,لعبه متناكه لولاد الوسخه الي معاهم فلوس وبس,0,43,Gaming
افضل بمطعم والأكل جدا لذيذ ويستحق افضل برجر وأجنحة دجاج,HungerStation,ios,positive,افضل بمطعم والاكل جدا لذيذ ويستحق افضل برجر واجنحه دجاج,1,55,Food Delivery
شكراً لكم على كل ماتقدمونه,mystc KSA,ios,positive,شكرا لكم علي كل ماتقدمونه,1,25,Other
التطبيق يقول لي احذف جيلبريك وهوا اساس مو موجود عندي وأرجو منكم تحلو مشكلتي بعد التحديث للايفون لاني تصريح عملي فيه وم اقدر أتحرك بدونه,"""Tawakkalna"" App",ios,negative,التطبيق يقول لي احذف جيلبريك وهوا اساس مو موجود عندي وارجو منكم تحلو مشكلتي بعد التحديث لايفون لاني تصريح عملي فيه وم اقدر اتحرك بدونه,0,134,Government Services
بأعيننا على العرض حملته عليه عرض 0.00,Stickman Legends: Shadow War Offline Fighting Game,android,positive,باعينا علي العرض حملته عليه عرض,1,35,Gaming
تطبيق رائع وممتاز سهل المراجعات وقلل الوقت ومشكورة وزارة الداخلية على هذا البرنامج ومحتوياته وشكرا مرة أخرى فأصبحنا ننجز اعمالنا ونحن في منازلنا أو مكاتبنا أو حتى في سيارتنا فكل معاملتنا التي نحتاجها كمواطنين أو مقيمين موجودة في نظام أبشر الرائع ولا يحتاج لأي جهد أو معرفة فهو سهل ومبسط في إجراءاته,Absher App,ios,positive,تطبيق رائع ومتاز سهل المراجعات وقل الوقت ومشكوره وزاره الداخليه علي هذا البرنامج ومحتوياته وشكرا مره اخري فاصبحنا نجز اعمالنا ونحن في منازلنا او مكاتبنا او حتي في سيارتنا فكل معاملتنا التي نحتاجها كمواطنين او مقيمين موجوده في نظام ابشر الرائع ولا يحتاج لاي جهد او معرفه فهو سهل ومبسط في اجراءاته,1,295,Government Services
إداره متميزه و تطبيق فعال يعطيكم العافيه,Yalla Group Voice Chat Rooms,ios,positive,اداره متميزه و تطبيق فعال يعطيكم العافيه,1,40,Voice Chat
لعبه ماسونيا بحت⁦استغفر الله  ⁩,Hitman Sniper,android,negative,لعبه ماسونيا بحتاستغفر اله,0,29,Gaming
لايتم تحديد الموقع بدقه,HungerStation,ios,positive,لايتم تحديد الموقع بدقه,1,23,Food Delivery
السلام عليكم أواجه مشكلة عدم التسجيل بظهور خطأ عدم مطابقة البيانات مع المركز الوطني للمعلومات ،، أرجوا التكرم بتقديم المساعده لي,"""Virtual Kindergarten Rawda "" App",ios,negative,السلام عليكم اواجه مشكله عدم التسجيل بظهور خطا عدم مطابقه البيانات مع المركز الوطني لمعلومات ، ارجوا التكرم بتقديم المساعده لي,0,126,Education
التطبيق رائع جدا جدا,PicsArt Photo & Video Editor,ios,positive,التطبيق رائع جدا جدا,1,20,Photo & Video
صراحه اللعبه خيال صدق تقرا افكارك واو خياليه,Akinator,ios,positive,صراحه العبه خيال صدق تقرا افكارك واو خياليه,1,43,Gaming
كذب والله ان الإعلانات كذب في كذب,Mafia City,android,negative,كذب واله ان الاعلانات كذب في كذب,0,32,Gaming
فاشل جدا بعد التحميل كل ما افتح التطبيق يرجع يقفل من حاله,أسعفني,android,negative,فاشل جدا بعد التحميل كل ما افتح التطبيق يرجع يقفل من حاله,0,57,Government Services
تطبيق غبيه ولله رفع ضغطي,مدرستي,android,negative,تطبيق غبيه وله رفع ضغطي,0,23,Education
انصح كل الناس يشترو منه  يجننننننننننن الموقع مره طلبت طلبيه منه مره جودتهم وتعامله حلو,Amazon Shopping made easy,ios,positive,انصح كل الناس يشترو منه يجن الموقع مره طلبت طلبيه منه مره جودتهم وتعامله حلو,1,76,Shopping
مبدائيآ لو تم تطويره بيكون تطبيق رائع,معروف,android,positive,مبدائيا لو تم تطويره بيكون تطبيق رائع,1,37,Government Services
كدابين وحراميه ويقولك عزيزي القائد مش عارف ايه وهما حراميه ولاد كلب اوساخ لا انصح احد بتحميل هذه اللعبه علي الجميع ااشكوي حتي نحذفها من جوجل,Warfare Strike:Ghost Recon,android,negative,كدابين وحراميه ويقولك عزيزي القائد مش عارف ايه وهما حراميه ولاد كلب اوساخ لا انصح احد بتحميل هذه العبه علي الجميع اشكوي حتي نحذفها من جوجل,0,138,Gaming
مافيه فئة وحجز في مركز الغدد الصماء والسكري,Mawid app,ios,negative,مافيه فئه وحجز في مركز الغد الصماء والسكري,0,42,Government Services
التطبيق يخدم الكثير وانصح به,Absher App,ios,positive,التطبيق يخدم الكثير وانصح به,1,28,Government Services
العبه حلوه مرره,State of Survival: Zombie War,ios,positive,العبه حلوه مره,1,14,Gaming
تطبيق جميل جدا وريح الناس,Absher App,ios,positive,تطبيق جميل جدا وريح الناس,1,25,Government Services
افضل من الوات ساب ف كل شي ولكن مشكله سلطنة عمان دائمآ تحظره,Telegram,android,positive,افضل من الوات ساب ف كل شي ولكن مشكله سلطنه عمان دائما تحظره,1,59,Social Media
افضل برنامج اتابعه يومياً,Pinterest: Lifestyle Ideas,ios,positive,افضل برنامج اتابعه يوميا,1,24,Photo & Video
يوجد تعليق باللعبه,Call of Duty®: Mobile,ios,negative,يوجد تعليق بالعبه,0,17,Gaming
بعد النقر على التطبيق تطلع شاشة سوداء في جوالي ولا يظهر شيء.,هيئة الاتصالات وتقنية المعلومات,android,negative,بعد النقر علي التطبيق تطلع شاشه سوداء في جوالي ولا يظهر شيء,0,60,Government Services
اسوى ططبيق ليش البضائع مو مرتبة ابدا أفضل ططبيق نون و علي بابا,Amazon Shopping Search Find Ship and Save,android,negative,اسوي طبيق ليش البضائع مو مرتبه ابدا افضل طبيق نون و علي بابا,0,60,Shopping
كل ما ادخل التطبيق يروح مخرجني,noon shopping,android,negative,كل ما ادخل التطبيق يروح مخرجني,0,30,Shopping
ضع بصمتك في ايه يا رب يحرسك يا بنت لو,My Town : Hotel Free,android,positive,ضع بصمتك في ايه يا رب يحرسك يا بنت لو,1,37,Gaming
سيئة جدا كل شويا يطلعني من الشوق وانا مالي دقيقتين,noon shopping,android,negative,سيئه جدا كل شويا يطلعني من الشوق وانا مالي دقيقتين,0,50,Shopping
تطبيق لا مثيل له وبالنسبة لي لا يوجد به اي خلل اشكر حكومتنا الرشيدة على توفير هذا التعليم الذي لانثيل له في العالم تعليم كامل وواضح وتم الفهم منه ولا يوجد لدينا بعد اليوم اي عذر اي كان من طقس او سفر او ك شي هكذا لان الهاتف لا يفارقنا وشةرا لكم,"""Madrasati"" App",ios,positive,تطبيق لا مثيل له وبالنسبه لي لا يوجد به اي خل اشكر حكومتنا الرشيده علي توفير هذا التعليم الذي لانثيل له في العالم تعليم كامل واضح وتم الفهم منه ولا يوجد لدينا بعد اليوم اي عذر اي كان من طقس او سفر او ك شي هكذا لان الهاتف لا يفارقنا وشهرا لكم,1,241,Education
برنامج متعطل اغلب الاوقات يحتاج لتطور اكثر,Mawared app,ios,negative,برنامج متعطل اغلب الاوقات يحتاج لتطور اكثر,0,42,Government Services
التطبيق لا يعمل عند الضغط على ايقونة مياه من الجوال,Ministry of Environment Water & Agriculture App,ios,negative,التطبيق لا يعمل عند الضغط علي ايقونه مياه من الجوال,0,51,Government Services
حبيت بس افرحكم مع انكم مزعليني,TikTok,android,positive,حبيت بس افرحكم مع انكم مزعليني,1,30,Social Media
كويس بس كثروا بنتحال الشخصيات,Twitter,android,negative,كويس بس كثروا بنتحال الشخصيات,0,29,Social Media
ممتاز شكرا لكم,Watani We hear you,android,positive,متاز شكرا لكم,1,13,Government Services
رائعة وحماسيه لا تمل,Gardenscapes,ios,positive,رائعه وحماسيه لا تمل,1,20,Gaming
طبيق سئ جدا يغلق تلقائي,VAT,android,negative,طبيق سئ جدا يغلق تلقائي,0,23,Banking & Finance
برنامج فاشل لا يقبل البيانات ولا حتى تسجيل افراد جدد بعد محاولات عده .. سئ سئ,Zakaty زكاتي,android,negative,برنامج فاشل لا يقبل البيانات ولا حتي تسجيل افراد جد بعد محاولات عده سئ سئ,0,75,Banking & Finance
دائمًا المنتجات رديئة واذا حاولت ارجاعها بيوم واحد يأتونك لاستلام الشحنة ثم تنتظرهم سنة كاملة حتى يرجعوا اموالك تطبيق سيء جدًا جدًا جدًا,Amazon Shopping made easy,ios,negative,دائما المنتجات رديئه واذا حاولت ارجاعها بيوم واحد ياتونك لاستلام الشحنه ثم تنتظرهم سنه كامله حتي يرجعوا اموالك تطبيق سيء جدا جدا جدا,0,132,Shopping
"اسواء تطبيق قابلته بحياتي كل شي فيه كذب 
علشان تستعمله لازم تدفع فلوس وبعدها على كل شي تدفع وبالاخر كله رد آلي مافي شي صحيح والله انهم نصابين والله ياخذهم على النصب ذا",Lamour—Meet New Friends,ios,negative,اسواء تطبيق قابلته بحياتي كل شي فيه كذب علشان تستعمله لازم تدفع فلوس وبعدها علي كل شي تدفع وبالاخر كله رد الي مافي شي صحيح واله انهم نصابين واله ياخذهم علي النصب ذا,0,165,Social Meeting
جمـيـل جدآً ورآئع وآبدآع,StreamKar Live Streaming Live Chat Live Video,android,negative,جميل جدا ورائع وابداع,0,21,Live Streaming
متوسط ..لكن يسلم لي كل طلب في يوم .!!!! كذلك تم ارسال بعض الطلبات لم تتوافق مع طلبي,noon shopping,android,negative,متوسط لكن يسلم لي كل طلب في يوم كذلك تم ارسال بعض الطلبات لم توافق مع طلبي,0,78,Shopping
المفروض اعرف سعر المشوار قبل تأكيد الطلب,Jahez,ios,negative,المفروض اعرف سعر المشوار قبل تاكيد الطلب,0,40,Food Delivery
اللعبه لها كم يوم م تشتغل عندي,بلوت VIP,android,negative,العبه لها كم يوم م تشتغل عندي,0,29,Gaming
ليش مو شغال عندى رغم ان التليفون حديث يجيب رساله تقول انت غير متصل نت رغم ان النت عندى شغال وقوى,Tango Live Video Broadcasts and Streaming Chats,android,negative,ليش مو شغال عندي رغم ان التليفون حديث يجيب رساله تقول انت غير متصل نت رغم ان النت عندي شغال وقوي,0,96,Live Streaming
بعد حصولي علي الشاره الثالثه اصبح عند دخولي الي الغرفه شكلي حلو جدا و هذا التطبيق جميل جدا وجيد جدا عشان كدا رشحته خمس نجوم,Yalla Group Voice Chat Rooms,ios,positive,بعد حصولي علي الشاره الثالثه اصبح عند دخولي الي الغرفه شكلي حلو جدا و هذا التطبيق جميل جدا وجيد جدا عشان كدا رشحته خمس نجوم,1,123,Voice Chat
ممكن مساعده ليش متتنزل,انتقام السلاطين,android,positive,مكن مساعده ليش متنزل,1,20,Gaming
برنمج زباله وكلو سفافين وهكر,BIGO LIVE–Live Stream Live Chat Go Live,android,negative,برنمج زباله وكلو سفافين وهكر,0,28,Live Streaming
 كأني اول مره العبها,My Town : Daycare,android,positive,كاني اول مره العبها,1,20,Gaming
أصبحت نداء الشحن فقط لايوجد متعه وغرض الإدارة او أصحاب اللعبة مادي فقط بدون تقديم اي ترفيه او مقابل مرضي جشع وتحايل على اللاعبين,Nida Harb 3: Alliance Empire MMO Nuclear War,android,negative,اصبحت نداء الشحن فقط لايوجد متعه وغرض الاداره او اصحاب العبه مادي فقط بدون تقديم اي ترفيه او مقابل مرضي جشع وتحايل علي الاعبين,0,126,Gaming
لايمكنني ربح بطل! فتحت اكثر من 15mega box ولم اربح بطلا واحدا,Brawl Stars,android,negative,لايمكني ربح بطل فتحت اكثر من ولم اربح بطلا واحدا,0,60,Gaming
التطبيق لا يعمل عندما اقوم بوصله في التلفاز عن طريق الوصله,OSN Streaming App,ios,negative,التطبيق لا يعمل عندما اقوم بوصله في التلفاز عن طريق الوصله,0,58,Entertainment
اكبر حراميه على وجه الارض ونجمه تخب عليكم,mystc KSA,ios,negative,اكبر حراميه علي وجه الارض ونجمه تخب عليكم,0,41,Other
كذابين أفعن لعبه بس فيه 3 أغاني,Smash Colors 3D Free Beat Color Rhythm Ball Game,android,negative,كذابين افعن لعبه بس فيه اغاني,0,31,Gaming
البرنامج متجاوز صلاحياته حيث انه يدخل على الذاكرة والتسجيل وسجل الهاتف وغيره من الاشياء الخاصة التي ليس له حق في الدخول عليها. وبهذه يكون برنامج تجسسي ويجب تقديم شكوى عليه في هذا الخصوص,تقديم بلاغ مخالفة تجارية,android,negative,البرنامج متجاوز صلاحياته حيث انه يدخل علي الذاكره والتسجيل وسجل الهاتف وغيره من الاشياء الخاصه التي ليس له حق في الدخول عليها وبهذه يكون برنامج تجسي ويجب تقديم شكوي عليه في هذا الخصوص,0,184,Government Services
لعبه واو بس ياريت تفتحو منزل الأقارب,My Town : Beach Picnic,android,positive,لعبه واو بس ياريت تفتحو منزل الاقارب,1,36,Gaming
"تطبيق ابشر جعل مراجعة الدوائر الحكومية أمراً يسيرا 
فشكرا لكل من فكر فيه وقام بتنفيذه واعتماده فهو تيسير على المواطنين ، شكرًا وزارة الداخلية",Absher App,ios,positive,تطبيق ابشر جعل مراجعه الدوائر الحكوميه امرا يسيرا فشكرا لكل من فكر فيه وقام بتنفيذه واعتماده فهو تيسير علي المواطنين ، شكرا وزاره الداخليه,1,139,Government Services
